FID;koord_x;koord_y;nm_inf;kewenangan;luas_ha;jenis_di;bgn_utm;provinsi;MIN;MAX;RANGE;MEAN;STD;SUM
0;120,3559976;-3,76910182;D.I. Awo;Pusat Sulawesi Selatan;5304;Daerah Irigasi;D.I. Awo;Sulawesi Selatan;1,899999976;3,349999905;1,449999928;3,168682569;0,193809867;15273,04998
1;120,3457002;-3,36634394;D.I. Bajo;Pusat Sulawesi Selatan;5020;Daerah Irigasi;D.I. Bajo;Sulawesi Selatan;2;3,349999905;1,349999905;3,050576846;0,236248231;14014,35003
2;119,5930662;-4,98615943;D.I. Bantimurung;Pusat Sulawesi Selatan;5114;Daerah Irigasi;D.I. Bantimurung;Sulawesi Selatan;1,850000024;3,549999952;1,699999928;3,076147085;0,227883837;14682,45004
3;120,1195859;-5,53103912;D.I. Bayang Bayang;Pusat Sulawesi Selatan;2782;Daerah Irigasi;D.I. Bayang Bayang;Sulawesi Selatan;1,700000048;3,200000048;1,5;2,917183899;0,208848133;7613,849977
4;120,0177203;-3,9283896;D.I. Bila Kalola;Pusat Sulawesi Selatan;9702;Daerah Irigasi;D.I. Bila Kalola;Sulawesi Selatan;2,049999952;3,349999905;1,299999952;3,228085156;0,159804866;29637,04982
5;119,4450718;-5,36884063;D.I. Bissua;Pusat Sulawesi Selatan;11620;Daerah Irigasi;D.I. Bissua;Sulawesi Selatan;1,600000024;3,349999905;1,749999881;2,891332295;0,357364311;29688,2
6;120,2299158;-5,47904857;D.I. Bontomanai;Pusat Sulawesi Selatan;3159;Daerah Irigasi;D.I. Bontomanai;Sulawesi Selatan;1,649999976;3,299999952;1,649999976;2,931274334;0,271423263;8280,849994
7;119,9674231;-3,88015202;D.I. Bulucenrana;Pusat Sulawesi Selatan;5335;Daerah Irigasi;D.I. Bulucenrana;Sulawesi Selatan;2,099999905;3,349999905;1,25;3,229036676;0,127426448;16458,39994
8;119,4262621;-5,28447857;D.I. Kampili;Pusat Sulawesi Selatan;10443;Daerah Irigasi;D.I. Kampili;Sulawesi Selatan;1,5;3,349999905;1,849999905;2,929331798;0,30051412;28013,19998
9;120,4982734;-2,62932628;D.I. Kanjiro;Pusat Sulawesi Selatan;5529;Daerah Irigasi;D.I. Kanjiro;Sulawesi Selatan;2,049999952;3,299999952;1,25;3,053502046;0,220981642;15084,30011
10;119,7900548;-5,61753777;D.I. Kelara Karalloe;Pusat Sulawesi Selatan;4490;Daerah Irigasi;D.I. Kelara Karalloe;Sulawesi Selatan;1,549999952;3,049999952;1,5;2,634212459;0,176514973;10837,15006
11;120,189997;-2,84419148;D.I. Lamasi;Pusat Sulawesi Selatan;10180;Daerah Irigasi;D.I. Lamasi;Sulawesi Selatan;1,75;3,5;1,75;3,195168652;0,218856828;29363,59991
12;119,9321312;-4,39007573;D.I. Langkemme;Pusat Sulawesi Selatan;6406;Daerah Irigasi;D.I. Langkemme;Sulawesi Selatan;1,950000048;3,349999905;1,399999857;3,151498243;0,210432691;18931,04995
13;119,5961072;-5,06000947;D.I. Lekopancing;Pusat Sulawesi Selatan;2381;Daerah Irigasi;D.I. Lekopancing;Sulawesi Selatan;1,899999976;3,549999952;1,649999976;3,052372112;0,265297473;6562,600042
14;120,3154088;-3,22881508;D.I. Padang Sappa;Pusat Sulawesi Selatan;3918;Daerah Irigasi;D.I. Padang Sappa;Sulawesi Selatan;1,950000048;3,299999952;1,349999905;3,125449357;0,137277513;11476,65004
15;120,3493985;-4,5379652;D.I. Palakka;Pusat Sulawesi Selatan;3371;Daerah Irigasi;D.I. Palakka;Sulawesi Selatan;1,549999952;3,349999905;1,799999952;2,939200389;0,270203925;9226,15002
16;119,4948225;-5,43083749;D.I. Pamukkulu;Pusat Sulawesi Selatan;3849;Daerah Irigasi;D.I. Pamukkulu;Sulawesi Selatan;1,75;3,299999952;1,549999952;3,042883155;0,316891256;10860,04998
17;120,3380481;-4,62567507;D.I. Pattiro;Pusat Sulawesi Selatan;4671;Daerah Irigasi;D.I. Pattiro;Sulawesi Selatan;1,850000024;3,299999952;1,449999928;3,06822606;0,166520521;13871,45002
18;120,0348222;-4,84190025;D.I. Ponre Ponre;Pusat Sulawesi Selatan;3948;Daerah Irigasi;D.I. Ponre Ponre;Sulawesi Selatan;1,850000024;3,349999905;1,499999881;2,89644339;0,326010047;9772,599997
19;120,0778051;-4,92884124;D.I. Sanrego;Pusat Sulawesi Selatan;4699;Daerah Irigasi;D.I. Sanrego;Sulawesi Selatan;1,850000024;3,349999905;1,499999881;3,0488131;0,278162077;13228,80004
20;119,5679719;-4,78997317;D.I. Tabo Tabo;Pusat Sulawesi Selatan;6630;Daerah Irigasi;D.I. Tabo Tabo;Sulawesi Selatan;2;3,599999905;1,599999905;3,090148312;0,274027328;17502,60004
21;119,9066571;-4,31839343;D.I. Tinco;Pusat Sulawesi Selatan;2889;Daerah Irigasi;D.I. Tinco;Sulawesi Selatan;2,25;3,349999905;1,099999905;3,229618849;0,167573783;8897,599928
22;120,8286268;-2,53203618;D.I. Kalaena;Pusat Sulawesi Selatan;12868;Daerah Irigasi;D.I. Kalaena;Sulawesi Selatan;1,950000048;3,299999952;1,349999905;3,046176161;0,198454393;34692,9003
23;105,7978927;-5,26190862;D.I. Way Curup;Pusat Lampung;3534;Daerah Irigasi;D.I. Way Curup;Lampung;1,649999976;3,099999905;1,449999928;2,934230639;0,195372884;9591,999958
24;105,7437183;-5,19793889;D.I. Way Jepara;Pusat Lampung;4071;Daerah Irigasi;D.I. Way Jepara;Lampung;1,75;3,099999905;1,349999905;2,839478204;0,26816134;9904,099975
25;119,4778561;-3,48371501;D.I. Paku;Pusat Sulawesi Selatan;276;Daerah Irigasi;D.I. Paku;Sulawesi Selatan;1,950000048;3,299999952;1,349999905;3,045098036;0,310163598;776,4999993
26;119,8445116;-3,87375991;D.I. Bulutimorang;Pusat Sulawesi Selatan;4658;Daerah Irigasi;D.I. Bulutimorang;Sulawesi Selatan;2,299999952;3,349999905;1,049999952;3,173623089;0,135300166;14347,94999
27;119,7056338;-3,83519523;D.I. Saddang;Pusat Sulawesi Selatan;54717;Daerah Irigasi;D.I. Saddang;Sulawesi Selatan;1,799999952;3,400000095;1,600000143;3,169840557;0,19031248;164223,0996
28;104,765956;-4,827258;D.I. Bumi Agung;Pusat Lampung;69;Daerah Irigasi;D.I. Bumi Agung;Lampung;2,049999952;3,25;1,200000048;2,793181815;0,389724698;122,8999999
29;105,7509974;-5,52667155;D.I. Jabung Kiri;Pusat Lampung;4304;Daerah Irigasi;D.I. Jabung Kiri;Lampung;1,950000048;3,150000095;1,200000048;2,963528507;0,165209735;11741,49994
30;105,3242037;-5,23482129;D.I. Way Kandis II;Pusat Lampung;1540;Daerah Irigasi;D.I. Way Kandis II;Lampung;1,950000048;3,349999905;1,399999857;2,913590181;0,348845178;3440,950004
31;105,2397921;-4,87146869;D.I. Way Seputih;Pusat Lampung;10742;Daerah Irigasi;D.I. Way Seputih;Lampung;1,799999952;3,349999905;1,549999952;2,969846602;0,312634457;27488,90015
32;109,2022474;-6,93343249;D.I. Cacaban;Pusat - Jawa Tengah;6407;Daerah Irigasi;D.I. Cacaban;Jawa Tengah;1,649999976;3,400000095;1,750000119;2,763556997;0,380343652;16144,69998
33;104,7937507;-4,75637163;D.I. Way Tulung Mas;Pusat Lampung;121;Daerah Irigasi;D.I. Way Tulung Mas;Lampung;2,099999905;3,25;1,150000095;2,89761906;0,360712339;243,400001
34;105,056797;-4,68531801;D.I. Way Rarem;Pusat Lampung;7797;Daerah Irigasi;D.I. Way Rarem;Lampung;1,899999976;3,349999905;1,449999928;3,006339196;0,31920702;20013,20003
35;105,3581907;-5,02055996;D.I. Way Sekampung;Pusat Lampung;48941;Daerah Irigasi;D.I. Way Sekampung;Lampung;1,700000048;3,400000095;1,700000048;2,935246526;0,321241243;129309,3505
36;104,927893;-4,96067443;D.I. Way Pangubuan;Pusat Lampung;1941;Daerah Irigasi;D.I. Way Pangubuan;Lampung;2,099999905;3,400000095;1,300000191;3,039649881;0,323138303;4948,550006
37;104,9251372;-5,36294609;D.I. Way Tebu Sistem;Pusat Lampung;3442;Daerah Irigasi;D.I. Way Tebu Sistem;Lampung;1,899999976;3,400000095;1,500000119;3,052036192;0,330058468;8768,499979
38;104,510878;-4,77837111;D.I. Way Umpu;Pusat Lampung;2174;Daerah Irigasi;D.I. Way Umpu;Lampung;1,899999976;3,299999952;1,399999976;2,628017492;0,416591936;4507,049998
39;105,6664147;-5,54886566;D.I. Jabung Kanan;Pusat Lampung;7543;Daerah Irigasi;D.I. Jabung Kanan;Lampung;1,850000024;3,150000095;1,300000072;3,018011083;0,140589273;21774,94996
40;109,4603848;-7,43376558;D.I. Banjarcahyana;Pusat - Jawa Tengah;3697;Daerah Irigasi;D.I. Banjarcahyana;Jawa Tengah;1,950000048;3,599999905;1,649999857;3,034710743;0,411684186;9914,399996
41;110,158658;-6,93578181;D.I. Bodri;Pusat - Jawa Tengah;8844;Daerah Irigasi;D.I. Bodri;Jawa Tengah;1,549999952;3,400000095;1,850000143;2,842198323;0,353088058;23388,45
42;109,9777318;-7,82040225;D.I. Boro;Pusat - Jawa Tengah;5328;Daerah Irigasi;D.I. Boro;Jawa Tengah;1,899999976;3,400000095;1,500000119;3,092001604;0,239646659;15463,10002
43;110,9189291;-7,56541542;D.I. Colo;Pusat - Jawa Tengah;21050;Daerah Irigasi;D.I. Colo;Jawa Tengah;1,75;3,400000095;1,650000095;2,843759671;0,254360541;55186,00018
44;109,4688269;-6,88352395;D.I. Comal;Pusat - Jawa Tengah;8556;Daerah Irigasi;D.I. Comal;Jawa Tengah;1,600000024;3,549999952;1,949999928;2,78662176;0,305213473;22964,54992
45;111,0739928;-7,10809078;D.I. Dumpil;Pusat - Jawa Tengah;5519;Daerah Irigasi;D.I. Dumpil;Jawa Tengah;2,049999952;3,349999905;1,299999952;3,009389619;0,283758348;15432,14997
46;111,0323334;-6,75190785;D.I. Gembong;Pusat - Jawa Tengah;4538;Daerah Irigasi;D.I. Gembong;Jawa Tengah;2,099999905;3,349999905;1,25;3,112669392;0,290343204;12861,54993
47;110,6389121;-6,98222471;D.I. Glapan;Pusat - Jawa Tengah;19028;Daerah Irigasi;D.I. Glapan;Jawa Tengah;1,450000048;3,400000095;1,950000048;3,09038609;0,284478898;56430,45
48;109,1148674;-6,99385839;D.I. Gung;Pusat - Jawa Tengah;6302;Daerah Irigasi;D.I. Gung;Jawa Tengah;1,850000024;3,549999952;1,699999928;2,932322882;0,372935405;16928,3
