FID;WADMPR;LUAS;COUNT;AREA;MIN;MAX;RANGE;MEAN;STD;SUM
0;Jawa Barat;19,465372899999998;377780;0,304857258703000;1,299999952320000;3,650000095370000;2,350000143050000;2,929954066900000;0,301789354004000;1106878,047389999963343
1;Bali;4,069607520000000;31425;0,025359043238800;1,500000000000000;3,450000047680000;1,950000047680000;2,545471756250000;0,396227459417000;79991,449940199992852
2;Nusa Tenggara Barat;0,635336810000000;69454;0,056047318666900;1,399999976160000;3,450000047680000;2,050000071530000;2,630527393630000;0,356809661438000;182700,649597000010544
3;Jawa Tengah;13,630624240000000;335986;0,271130739909000;1,450000047680000;3,700000047680000;2,250000000000000;2,962649334640000;0,332725416707000;995408,699346999987029
4;Daerah Istimewa Yogyakarta;11,268059160000000;8251;0,006658312355230;1,799999952320000;3,500000000000000;1,700000047680000;2,747254880500000;0,373584728236000;22667,600019000001339
5;Jawa Timur;1,071223350000000;286119;0,230889549481000;1,100000023840000;3,500000000000000;2,399999976160000;2,541638448500000;0,346421144436000;727211,051245999988168
6;Sulawesi Selatan;2,271095440000000;196160;0,158295303794000;1,500000000000000;3,599999904630000;2,099999904630000;3,066621379350000;0,283380963459000;601548,449773999978788
7;Sumatera Barat;66,065478610000000;87659;0,070738213882800;1,549999952320000;3,549999952320000;2,000000000000000;2,446472699920000;0,404579268795000;214455,350402999989456
8;Jambi;5,624650970000000;19280;0,015558388341900;1,649999976160000;3,349999904630000;1,699999928470000;2,587372921880000;0,413653046171000;49884,549933900001633
9;Lampung;18,000254550000001;105477;0,085116811573500;1,649999976160000;3,400000095370000;1,750000119210000;2,881319155700000;0,362442058603000;303912,900586000003386
10;Sumatera Selatan;2,268534170000000;115371;0,093100976213200;1,649999976160000;3,400000095370000;1,750000119210000;2,674303336610000;0,472929279636000;308537,050248000014108
11;Bengkulu;25,775521690000001;32613;0,026317724014200;1,700000047680000;3,299999952320000;1,599999904630000;2,351238772800000;0,401253096721000;76680,950097299995832
12;Banten;2,569324240000000;52586;0,042435342808400;1,350000023840000;3,500000000000000;2,149999976160000;2,623187722950000;0,363561508355000;137942,949599000014132
13;Kepulauan Bangka Belitung;2,018893080000000;6279;0,005066966825660;1,549999952320000;3,299999952320000;1,750000000000000;2,682393695480000;0,400229096078000;16842,750013900000340
14;DKI Jakarta;8,225025040000000;0;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000
15;Kalimantan Selatan;1,659265350000000;37438;0,030211355951400;1,649999976160000;3,349999904630000;1,699999928470000;2,665434854040000;0,338340299299000;99788,550065599993104
16;Kalimantan Barat;614,734847579999951;0;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000
17;Kalimantan Tengah;45,212569369999997;7821;0,006311315104870;1,799999952320000;3,299999952320000;1,500000000000000;2,208867155440000;0,256666042204000;17275,550022700001136
18;Nusa Tenggara Timur;11,387766290000000;40850;0,032964738784500;1,350000023840000;3,250000000000000;1,899999976160000;2,553953484520000;0,334723125754000;104328,999842999997782
19;Maluku;4,720893750000000;30263;0,024421343692400;1,350000023840000;3,599999904630000;2,249999880790000;2,410058489860000;0,445832836092000;72935,600078699993901
20;Papua Selatan;102,833583820000001;0;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000
21;Sulawesi Barat;8,582623730000000;9712;0,007837296036120;1,600000023840000;3,349999904630000;1,749999880790000;2,957490728280000;0,279180912755000;28723,149953000000096
22;Papua Tengah;113,480330159999994;0;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000
23;Papua Pegunungan;11,107104670000000;0;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000
24;Papua Barat;163,578817659999999;9259;0,007471738467710;1,399999976160000;3,299999952320000;1,899999976160000;2,226671353470000;0,262725789020000;20616,750061800001276
25;Papua;88,326714469999999;0;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000
26;Sulawesi Tengah;30,997919390000000;39276;0,031694567454100;1,450000047680000;3,299999952320000;1,849999904630000;2,639363736340000;0,449343032842000;103663,650108000001637
27;Sulawesi Tenggara;7,577362900000000;47368;0,038224571523800;1,799999952320000;3,349999904630000;1,549999952320000;2,866373920650000;0,438112494542000;135774,399872999987565
28;Kepulauan Riau;10,420982120000000;34;0,000027436991889;1,850000023840000;2,700000047680000;0,850000023842000;2,175000011920000;0,164160076691000;73,950000405300003
29;Riau;15,808188360000001;8742;0,007054534796930;1,549999952320000;3,299999952320000;1,750000000000000;2,181434453770000;0,279962014474000;19070,099994899999729
30;Sumatera Utara;3,125975200000000;29872;0,024105818285700;1,700000047680000;3,549999952320000;1,849999904630000;2,903598690140000;0,379820965144000;86736,300071999998181
31;Kalimantan Timur;180,623815280000002;0;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000
32;Kalimantan Utara;788,896373509999989;0;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000
33;Sulawesi Utara;5,829752740000000;19940;0,016090988772700;1,399999976160000;3,400000095370000;2,000000119210000;2,599275325020000;0,450654373724000;51829,549980900002993
34;Aceh;123,495658349999999;110207;0,088933781327500;1,299999952320000;3,549999952320000;2,250000000000000;2,746675794310000;0,419718232117000;302702,899264000006951
35;Maluku Utara;11,901507470000000;19301;0,015575334719200;1,200000047680000;3,250000000000000;2,049999952320000;2,196349927040000;0,313888516595000;42391,749941800000670
36;Papua Barat Daya;162,524547250000012;0;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000
37;Gorontalo;0,657925580000000;22210;0,017922811466500;1,399999976160000;3,299999952320000;1,899999976160000;2,596744713450000;0,345287279835000;57673,700085800002853
